,bg_geoid,hc_pop_total,hc_hu_total,hc_workers_textile_apparel,hc_workers_eat_drink,hc_workers_other_retail,hc_workers_other_service,hc_workers_education,hc_workers_other_mfg,hc_workers_total,hc_families_income_below_1k,hc_families_total,hc_families_nw_income_below_1k,hc_families_nw_total,area_acres,zh_FAR,zh_USE_1,zh_USE_2,zh_USE_3,zh_USE_4,zh_USE_5,zh_USE_6,zh_USE_7,zh_USE_8,zh_USE_9,zh_USE_10,zh_USE_11,zh_USE_12,zh_USE_13,zh_USE_14,zh_USE_15,zh_USE_16,zh_USE_17,zh_USE_18,census_tract,name,oi_kid_stay_share,cbd_distance_miles
11,360050016002,1891.7655187829396,575.0491203009507,28.71532075157779,22.495904398078473,61.312145719435456,17.21888763076034,10.663493048980534,86.68979781595235,581.3750059182872,19.26815918514368,452.76378008822115,5.415002254501648,90.53892080571809,967.9616669357242,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36005001600,"Bronx County, NY",0.2305,8.152398145780253
12,360050016003,2584.1569778450853,824.0496689381454,49.642868277799614,27.676907121871505,105.73260315351155,34.58796066925013,24.406442468967988,137.49034906218733,907.5069732389314,22.15629999879993,659.6145505492852,4.597564050216705,82.10364922418722,1037.4175641640522,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36005001600,"Bronx County, NY",0.2305,8.46323639808942
13,360050016004,2036.6733167686277,635.8586908675532,32.86607774794297,23.58945974307528,71.58500162973311,21.028202486126915,13.88249933390194,96.8422054360749,650.5665701915433,19.880750039963175,496.4280161682437,5.245188179113399,88.67172983656883,1047.131613644102,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36005001600,"Bronx County, NY",0.2305,8.238557529095129
14,360050019001,5261.020124217846,1912.6448618244099,179.60036881007827,89.30278461607855,143.38485882802476,93.93349534612823,21.285125823075102,288.9860480416246,1791.8036615059607,63.73237784233516,1237.0408765958023,18.647647389990908,283.03008197680555,877.9377206022681,2.9773559521059387,0.698111394361385,0.698111394361385,0.698111394361385,1.0,1.0,1.0,0.3018886056386149,1.0,1.0,1.0,0.3018886056386149,1.0,0.3018886056386149,0.3018886056386149,0.0,0.3018886056386149,0.0,0.0,36005001900,"Bronx County, NY",0.1853,5.114563243174458
15,360050019002,4060.542520895486,1451.9169278618922,147.14244359108437,67.64969646908129,122.16066242191451,76.09370271477458,17.760638599674127,233.12429871763112,1508.7628482851915,42.07195713875043,919.5064593599136,7.373279391262125,118.79756727943753,706.2025277465931,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,36005001900,"Bronx County, NY",0.1853,5.234050448002327
16,360050019003,3331.721461246118,1192.624421718116,131.0285634654962,55.63120156364659,106.24941276856173,62.481207148200205,15.395272227213134,194.89922133839718,1273.1202380570176,35.27767738855474,786.2321770237637,4.499580908949582,89.34133122650468,655.5269346110654,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,36005001900,"Bronx County, NY",0.1853,5.383187546169649
17,360050019004,4084.9012668125124,1529.549184768001,157.55627517429352,77.64867312707783,119.29593384091275,89.9501507425565,18.06047135142351,266.5956058023673,1610.7869290555423,46.26624616135208,979.2746850047205,8.804398532288015,154.28774942918784,415.2728272321239,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,36005001900,"Bronx County, NY",0.1853,5.167900948178492
18,360050020001,2201.0749424662695,606.5997926067103,36.73177681533635,25.893751347902,68.19327188050808,20.781753354403904,13.544633105050057,93.23732516014464,651.9591790580785,23.842805834641464,525.0013324502668,6.863850295938201,117.11884398861157,899.7034866478147,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36005002000,"Bronx County, NY",0.258,8.066359319967663
19,360050020002,2115.204086332303,569.617481503342,33.31740578448771,24.79716949897856,61.86989326718659,18.914773903931952,11.681887016908707,92.17889910084565,622.2830069608009,24.224615211310187,498.88489817688594,7.185706816876209,118.0949175657294,777.1054875617068,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36005002000,"Bronx County, NY",0.258,8.034143130941931
20,360050020003,2418.8920335799994,658.6245173163735,44.14125047784577,29.945159065673803,77.45956713184144,23.898658544047073,15.49609419521231,103.48748502622757,730.7332568361023,27.37221184155157,581.9636216902861,7.655163719073997,129.3182521085193,736.0165381936415,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,36005002000,"Bronx County, NY",0.258,7.963247773992802
21,360050020004,2180.8425642362827,580.5812718105655,34.716457393720916,26.21584437729521,64.05163071699985,20.00288672243165,12.258568618621837,96.47527525596551,647.2422871956884,25.008673609966504,514.7171157169645,7.529429343236243,122.6025487976965,702.884925181152,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36005002000,"Bronx County, NY",0.258,7.934158179774104
22,360050020005,2456.9919872046717,667.6280614272827,44.65654223978036,30.04842201056669,78.11615983918863,24.3652588801256,15.683237227407963,104.08109149125298,739.0179316449005,27.478573358120457,590.521367931443,7.764341871402981,132.02252134790615,745.2870517357813,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,36005002000,"Bronx County, NY",0.258,7.998695069238792
23,360050020006,2337.3513033193,662.515251316633,46.80131200449889,27.852782311654103,82.20961084254287,25.39574164731349,17.050643203276024,102.48436394620816,738.6694731010327,24.31706920603913,575.804032593669,6.447876729166385,110.82591717437045,958.2867813024577,0.894341805774132,0.211316388451736,0.211316388451736,0.211316388451736,1.0,0.788683611548264,0.788683611548264,0.788683611548264,0.788683611548264,0.788683611548264,0.788683611548264,0.788683611548264,0.788683611548264,0.788683611548264,0.788683611548264,0.0,0.788683611548264,0.0,0.0,36005002000,"Bronx County, NY",0.258,8.03778413358864
24,360050023001,5483.833156353429,2051.1047879208772,184.264600171405,89.62149845249941,158.31134555530915,106.6136185251528,37.971520475132074,288.0094222252868,1994.6603394488297,66.4769526937576,1307.8951080177292,27.444715273776204,467.9461472653042,1011.093048722453,2.840608014417488,0.6004342960124913,0.6004342960124913,0.6004342960124913,1.0,1.0,1.0,0.3995657039875088,1.0,1.0,1.0,0.3995657039875088,1.0,0.3995657039875088,0.3995657039875088,0.0,0.3995657039875088,0.0,0.0,36005002300,"Bronx County, NY",0.2201,5.271586344475375
25,360050023002,5925.820465681412,2142.0388903383764,209.6369058718799,100.08818562613516,174.73116856498092,107.73636155741929,33.63909690009997,332.25975770262056,2150.5450557349204,68.62707551332217,1426.423240564282,20.625909628580114,338.9297393883284,746.4422502909101,3.0080937315645677,0.7200669511175481,0.7200669511175481,0.7200669511175481,1.0,1.0,1.0,0.27993304888245196,1.0,1.0,1.0,0.27993304888245196,1.0,0.27993304888245196,0.27993304888245196,0.0,0.27993304888245196,0.0,0.0,36005002300,"Bronx County, NY",0.2201,5.356867677404933
26,360050023003,5499.956283228516,2019.284740545528,188.06063136683963,90.96223743119167,158.70691723221537,100.00356493987263,31.66834370269909,298.41173397067826,1954.1719252745122,65.82529945608178,1312.3518598243238,22.288463052824877,361.3260753113291,955.1191337571157,2.9695913683199295,0.692565263085664,0.692565263085664,0.692565263085664,1.0,1.0,1.0,0.30743473691433604,1.0,1.0,1.0,0.30743473691433604,1.0,0.30743473691433604,0.30743473691433604,0.0,0.30743473691433604,0.0,0.0,36005002300,"Bronx County, NY",0.2201,5.260404170218868
