"","county_fips","naics","count_sg","count_cbp","naics_factor"
"163","12017","56",17,189,"56"
"164","12017","61",38,19,"61"
"165","12017","62",237,394,"62"
"166","12017","71",72,33,"71"
"167","12017","72",182,226,"72"
"168","12017","81",290,310,"81"
"169","12019","22",1,5,"22"
"170","12019","23",6,572,"23"
"171","12019","31-33",10,74,"31-33"
"172","12019","42",23,93,"42"
"173","12019","44-45",683,566,"44-45"
"174","12019","48-49",22,122,"48-49"
"175","12019","51",37,60,"51"
"176","12019","52",135,185,"52"
"177","12019","53",92,231,"53"
"178","12019","54",57,436,"54"
"179","12019","55",1,16,"55"
"180","12019","56",29,253,"56"
"181","12019","61",94,56,"61"
"182","12019","62",450,525,"62"
"183","12019","71",112,49,"71"
"184","12019","72",353,307,"72"
"185","12019","81",462,424,"81"
"186","12021","11",1,20,"11"
"187","12021","22",1,16,"22"
"188","12021","23",15,1754,"23"
"189","12021","31-33",61,213,"31-33"
"190","12021","42",54,370,"42"
"191","12021","44-45",1857,1471,"44-45"
"192","12021","48-49",63,238,"48-49"
"193","12021","51",73,161,"51"
"194","12021","52",498,693,"52"
"195","12021","53",339,1254,"53"
"196","12021","54",102,1636,"54"
"197","12021","55",2,35,"55"
"198","12021","56",133,1070,"56"
"199","12021","61",120,117,"61"
"200","12021","62",964,1152,"62"
"201","12021","71",327,240,"71"
"202","12021","72",979,880,"72"
"203","12021","81",970,1223,"81"
"204","12027","42",1,14,"42"
"205","12027","44-45",2,71,"44-45"
"206","12027","51",1,7,"51"
"207","12027","52",2,22,"52"
"208","12027","54",2,38,"54"
"209","12027","61",1,4,"61"
"210","12027","62",3,45,"62"
"211","12027","71",2,6,"71"
"212","12027","72",2,39,"72"
"213","12027","81",3,57,"81"
"214","12031","11",1,22,"11"
"215","12031","22",10,13,"22"
"216","12031","23",48,2803,"23"
"217","12031","31-33",162,602,"31-33"
"218","12031","42",155,1209,"42"
"219","12031","44-45",4604,3335,"44-45"
"220","12031","48-49",195,1149,"48-49"
"221","12031","51",235,444,"51"
"222","12031","52",1169,1595,"52"
"223","12031","53",615,1523,"53"
"224","12031","54",390,3322,"54"
"225","12031","55",10,199,"55"
"226","12031","56",314,1748,"56"
"227","12031","61",553,361,"61"
"228","12031","62",2613,2899,"62"
"229","12031","71",873,378,"71"
"230","12031","72",2540,2203,"72"
"231","12031","81",2916,2431,"81"
"232","12033","22",3,25,"22"
"233","12033","23",9,708,"23"
"234","12033","31-33",48,148,"31-33"
"235","12033","42",60,307,"42"
"236","12033","44-45",1434,1058,"44-45"
"237","12033","48-49",56,190,"48-49"
"238","12033","51",71,114,"51"
"239","12033","52",346,405,"52"
"240","12033","53",182,386,"53"
"241","12033","54",95,828,"54"
"242","12033","55",3,34,"55"
"243","12033","56",55,406,"56"
"244","12033","61",134,84,"61"
"245","12033","62",771,860,"62"
"246","12033","71",286,99,"71"
"247","12033","72",846,575,"72"
"248","12033","81",941,686,"81"
"249","12035","23",7,355,"23"
"250","12035","31-33",8,42,"31-33"
"251","12035","42",14,65,"42"
"252","12035","44-45",343,282,"44-45"
"253","12035","48-49",11,85,"48-49"
"254","12035","51",16,31,"51"
"255","12035","52",112,120,"52"
"256","12035","53",66,194,"53"
"257","12035","54",33,218,"54"
"258","12035","56",20,181,"56"
"259","12035","61",33,17,"61"
"260","12035","62",224,233,"62"
"261","12035","71",92,35,"71"
"262","12035","72",231,181,"72"
"263","12035","81",220,222,"81"
"264","12039","31-33",1,21,"31-33"
"265","12039","42",3,40,"42"
"266","12039","44-45",28,114,"44-45"
"267","12039","48-49",2,21,"48-49"
"268","12039","53",3,17,"53"
"269","12039","54",1,40,"54"
"270","12039","56",3,41,"56"
"271","12039","61",5,8,"61"
"272","12039","62",1,62,"62"
"273","12039","71",7,5,"71"
"274","12039","72",12,60,"72"
"275","12039","81",13,74,"81"
"276","12051","22",1,4,"22"
"277","12051","44-45",9,113,"44-45"
"278","12051","48-49",1,23,"48-49"
"279","12051","52",1,29,"52"
"280","12051","53",1,21,"53"
"281","12051","62",1,70,"62"
"282","12051","71",1,6,"71"
"283","12051","72",1,65,"72"
"284","12051","81",1,68,"81"
"285","12053","23",6,430,"23"
"286","12053","31-33",18,85,"31-33"
"287","12053","42",15,93,"42"
"288","12053","44-45",598,475,"44-45"
"289","12053","48-49",29,98,"48-49"
"290","12053","51",40,57,"51"
"291","12053","52",149,187,"52"
"292","12053","53",74,201,"53"
"293","12053","54",58,327,"54"
"294","12053","55",2,3,"55"
"295","12053","56",35,221,"56"
"296","12053","61",62,30,"61"
"297","12053","62",455,548,"62"
"298","12053","71",95,54,"71"
"299","12053","72",333,287,"72"
"300","12053","81",383,325,"81"
"301","12055","22",3,10,"22"
"302","12055","23",1,230,"23"
"303","12055","31-33",3,48,"31-33"
"304","12055","42",11,62,"42"
"305","12055","44-45",352,334,"44-45"
"306","12055","48-49",15,56,"48-49"
"307","12055","51",18,29,"51"
"308","12055","52",97,95,"52"
"309","12055","53",36,95,"53"
"310","12055","54",19,144,"54"
"311","12055","55",1,3,"55"
"312","12055","56",18,102,"56"
"313","12055","61",38,20,"61"
"314","12055","62",217,322,"62"
"315","12055","71",62,34,"71"
"316","12055","72",165,144,"72"
"317","12055","81",232,211,"81"
"318","12057","22",12,31,"22"
"319","12057","23",73,3622,"23"
"320","12057","31-33",213,804,"31-33"
"321","12057","42",224,1999,"42"
"322","12057","44-45",5888,4620,"44-45"
"323","12057","48-49",251,1002,"48-49"
"324","12057","51",341,720,"51"
"325","12057","52",1665,2917,"52"
"326","12057","53",862,2533,"53"
"327","12057","54",460,6041,"54"
"328","12057","55",8,263,"55"
"329","12057","56",327,2504,"56"
"330","12057","61",679,561,"61"
"331","12057","62",3448,4404,"62"
"332","12057","71",1162,547,"71"
"333","12057","72",3541,2615,"72"
"334","12057","81",3911,3084,"81"
"335","12061","22",5,6,"22"
"336","12061","23",5,546,"23"
"337","12061","31-33",14,93,"31-33"
"338","12061","42",16,148,"42"
"339","12061","44-45",807,653,"44-45"
"340","12061","48-49",31,80,"48-49"
"341","12061","51",28,58,"51"
"342","12061","52",212,259,"52"
"343","12061","53",89,298,"53"
"344","12061","54",77,526,"54"
"345","12061","55",1,13,"55"
"346","12061","56",52,372,"56"
"347","12061","61",57,42,"61"
"348","12061","62",490,489,"62"
"349","12061","71",173,81,"71"
"350","12061","72",381,295,"72"
"351","12061","81",418,416,"81"
"352","12069","11",2,18,"11"
"353","12069","22",1,17,"22"
"354","12069","23",7,1068,"23"
"355","12069","31-33",40,180,"31-33"
"356","12069","42",38,264,"42"
"357","12069","44-45",1337,1068,"44-45"
"358","12069","48-49",60,225,"48-49"
"359","12069","51",74,114,"51"
"360","12069","52",295,401,"52"
"361","12069","53",161,527,"53"
"362","12069","54",89,697,"54"
"363","12069","55",4,17,"55"
"364","12069","56",62,563,"56"
"365","12069","61",121,106,"61"
"366","12069","62",784,945,"62"
"367","12069","71",277,133,"71"
"368","12069","72",700,575,"72"
"369","12069","81",881,726,"81"
"370","12071","22",2,32,"22"
"371","12071","23",40,2929,"23"
"372","12071","31-33",93,361,"31-33"
"373","12071","42",125,722,"42"
"374","12071","44-45",3353,2571,"44-45"
"375","12071","48-49",119,424,"48-49"
"376","12071","51",146,271,"51"
"377","12071","52",871,1099,"52"
"378","12071","53",582,1697,"53"
"379","12071","54",208,2260,"54"
"380","12071","55",7,86,"55"
"381","12071","56",203,1539,"56"
"382","12071","61",235,184,"61"
"383","12071","62",1692,1745,"62"
"384","12071","71",567,325,"71"
"385","12071","72",1872,1501,"72"
"386","12071","81",1873,1753,"81"
"387","12073","22",3,15,"22"
"388","12073","23",11,670,"23"
"389","12073","31-33",41,103,"31-33"
"390","12073","42",62,243,"42"
"391","12073","44-45",1233,977,"44-45"
"392","12073","48-49",50,100,"48-49"
"393","12073","51",60,211,"51"
"394","12073","52",382,449,"52"
"395","12073","53",130,448,"53"
"396","12073","54",89,1404,"54"
"397","12073","55",4,41,"55"
"398","12073","56",64,471,"56"
"399","12073","61",155,119,"61"
"400","12073","62",627,756,"62"
"401","12073","71",238,103,"71"
"402","12073","72",816,753,"72"
"403","12073","81",830,839,"81"
"404","12081","11",1,21,"11"
"405","12081","22",4,11,"22"
"406","12081","23",16,1224,"23"
"407","12081","31-33",40,289,"31-33"
"408","12081","42",55,409,"42"
"409","12081","44-45",1601,1320,"44-45"
"410","12081","48-49",62,183,"48-49"
"411","12081","51",70,116,"51"
"412","12081","52",383,521,"52"
"413","12081","53",179,694,"53"
"414","12081","54",98,1072,"54"
"415","12081","55",2,71,"55"
"416","12081","56",89,775,"56"
"417","12081","61",148,124,"61"
"418","12081","62",808,1008,"62"
"419","12081","71",285,156,"71"
"420","12081","72",898,665,"72"
"421","12081","81",867,843,"81"
"422","12083","22",1,9,"22"
"423","12083","23",11,873,"23"
"424","12083","31-33",31,194,"31-33"
"425","12083","42",49,324,"42"
"426","12083","44-45",1347,1126,"44-45"
"427","12083","48-49",53,252,"48-49"
"428","12083","51",71,107,"51"
"429","12083","52",298,363,"52"
"430","12083","53",155,442,"53"
"431","12083","54",111,682,"54"
"432","12083","55",2,26,"55"
"433","12083","56",59,489,"56"
"434","12083","61",114,61,"61"
"435","12083","62",754,947,"62"
"436","12083","71",179,113,"71"
"437","12083","72",630,532,"72"
"438","12083","81",771,736,"81"
"439","12085","23",5,696,"23"
"440","12085","31-33",22,181,"31-33"
"441","12085","42",22,206,"42"
"442","12085","44-45",952,761,"44-45"
"443","12085","48-49",19,122,"48-49"
"444","12085","51",41,72,"51"
"445","12085","52",243,323,"52"
"446","12085","53",363,367,"53"
"447","12085","54",67,789,"54"
"448","12085","55",1,17,"55"
"449","12085","56",32,436,"56"
"450","12085","61",64,58,"61"
"451","12085","62",544,613,"62"
"452","12085","71",206,138,"71"
"453","12085","72",460,419,"72"
"454","12085","81",517,533,"81"
"455","12086","11",5,41,"11"
"456","12086","22",5,56,"22"
"457","12086","23",152,5765,"23"
"458","12086","31-33",581,2110,"31-33"
"459","12086","42",250,8476,"42"
"460","12086","44-45",12482,10552,"44-45"
"461","12086","48-49",631,3716,"48-49"
"462","12086","51",796,1561,"51"
"463","12086","52",3004,4824,"52"
"464","12086","53",2129,6196,"53"
"465","12086","54",874,14770,"54"
"466","12086","55",1,350,"55"
"467","12086","56",621,4270,"56"
"468","12086","61",1601,1117,"61"
"469","12086","62",6103,9511,"62"
"470","12086","71",2154,1270,"71"
"471","12086","72",7138,5921,"72"
"472","12086","81",6477,6205,"81"
"473","12091","22",1,17,"22"
"474","12091","23",9,601,"23"
"475","12091","31-33",30,87,"31-33"
"476","12091","42",23,144,"42"
"477","12091","44-45",949,840,"44-45"
"478","12091","48-49",35,114,"48-49"
"479","12091","51",40,77,"51"
"480","12091","52",194,287,"52"
"481","12091","53",134,451,"53"
"482","12091","54",64,701,"54"
"483","12091","55",1,16,"55"
"484","12091","56",39,348,"56"
